年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,統計調查訪談人員,批發及零售業各業,363,53551,42743,10808
2019,會計助理、簿記、出納,批發及零售業各業,161948,34654,33020,1634
2019,存貨事務人員,批發及零售業各業,38262,36117,33835,2282
2019,生產及物料規劃事務人員,批發及零售業各業,8772,33504,32432,1072
2019,運輸事務人員(含稽查、調度、管理、航務),批發及零售業各業,532,46438,44474,1964
2019,人事事務人員,批發及零售業各業,9269,40372,36573,3799
2019,服務及銷售工作人員,批發及零售業各業,358890,34262,29601,4661
2019,廚師,批發及零售業各業,1258,39603,37354,2249
2019,餐飲服務人員,批發及零售業各業,… ,… ,… ,… 
2019,美髮、美容及造型設計人員,批發及零售業各業,3490,34855,28916,5939
2019,宿舍舍監,批發及零售業各業,… ,… ,… ,… 
2019,按摩師,批發及零售業各業,43,22940,22017,923
2019,商店銷售人員(含百貨公司樓管人員),批發及零售業各業,250540,35124,30092,5032
2019,收銀員及售票員,批發及零售業各業,43641,32092,30109,1983
2019,展售說明人員,批發及零售業各業,24595,37192,30228,6964
2019,電話及網路行銷人員,批發及零售業各業,5458,31578,30186,1392
2019,加油站服務員,批發及零售業各業,22177,27152,22559,4593
2019,餐食服務櫃台工作人員,批發及零售業各業,5710,25389,24180,1209
2019,建築物管理員、保全及警衛人員,批發及零售業各業,1801,45920,38166,7754
2019,技藝、機械設備操作及組裝人員,批發及零售業各業,207000,40407,34510,5897
2019,園藝及農牧業生產人員,批發及零售業各業,1248,36869,32514,4355
2019,砌石、裁石及石雕人員,批發及零售業各業,… ,… ,… ,… 
2019,玻璃安裝人員,批發及零售業各業,… ,… ,… ,… 
2019,管道裝設人員(含檢修),批發及零售業各業,… ,… ,… ,… 
2019,空調及冷凍機械裝修人員,批發及零售業各業,3051,51797,32964,18833
2019,金屬工具機設定及操作人員,批發及零售業各業,4298,31891,31271,620
2019,車輛維修人員(含自行車、機車、汽車、火車),批發及零售業各業,35721,43093,38108,4985
2019,產業用機器維修人員,批發及零售業各業,7992,84951,36926,48025
2019,精密儀器製造及修理人員,批發及零售業各業,3607,82681,42015,40666
2019,陶瓷製品有關工作人員(含磚瓦),批發及零售業各業,… ,… ,… ,… 
2019,各種材質手工藝人員,批發及零售業各業,… ,… ,… ,… 
2019,美編及印刷前置工作人員,批發及零售業各業,1039,29694,29490,204
2019,建築物電力系統裝修人員(含水電工),批發及零售業各業,2668,59663,38313,21350
2019,電力機械裝修人員,批發及零售業各業,6758,37047,34476,2571
2019,資(通)訊設備裝修人員(含電信、電話),批發及零售業各業,5950,34954,33395,1559
2019,電子設備裝修人員（不含資通訊設備）,批發及零售業各業,11215,42019,33097,8922
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),批發及零售業各業,22115,30603,29181,1422
2019,木材處理、家具木工及有關工作人員,批發及零售業各業,3030,30202,29356,846
2019,服飾打樣及剪裁人員,批發及零售業各業,2902,34786,33135,1651
2019,非食品飲料產品分級及檢查人員,批發及零售業各業,4529,24960,23969,991
2019,金屬製造設備操作員(含熔煉、鑄造、輾軋、熱處理、抽製及擠型等),批發及零售業各業,4010,32901,31006,1895
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),批發及零售業各業,… ,… ,… ,… 
2019,塑膠製品機械操作人員,批發及零售業各業,… ,… ,… ,… 
2019,縫製機械操作人員(含裁縫、刺繡),批發及零售業各業,1137,30542,30542,— 
2019,包裝機械操作人員,批發及零售業各業,2728,25235,24288,947
2019,組裝(現場)人員,批發及零售業各業,2328,26235,24953,1282
2019,小客、貨車駕駛人員,批發及零售業各業,59773,38131,35273,2858
2019,大客、貨車駕駛人員,批發及零售業各業,13148,41367,40130,1237
2019,推土、吊車、起重機等移運設備操作人員,批發及零售業各業,3746,36682,35296,1386
2019,基層技術工及勞力工,批發及零售業各業,105595,30727,28504,2223
2019,清潔及家事工作人員(含建築清潔工),批發及零售業各業,4087,26029,25805,224
2019,勞力工,批發及零售業各業,26682,28153,27610,543
2019,理貨員,批發及零售業各業,72774,32011,29051,2960
2019,廢棄物收集工及回收資源分類工,批發及零售業各業,1723,25971,25971,— 
2019,廚房幫工(含速食烹調),批發及零售業各業,329,38750,26785,11965
2019,主管及監督人員,批發業,192248,90651,80719,9932
2019,高階主管(總經理及總執行長),批發業,30374,156379,144691,11688
2019,中階主管(經理),批發業,59010,105559,88566,16993
2019,監督人員(含現場及辦公室主任、科/股長),批發業,102864,62692,57328,5364
2019,專業人員,批發業,56625,62511,53762,8749
2019,數學、精算及統計專業人員,批發業,… ,… ,… ,… 
2019,農、林、漁、牧業專業人員,批發業,… ,… ,… ,… 
2019,品管工程師,批發業,454,75668,74718,950
2019,工管及生管工程師,批發業,176,57139,53807,3332
2019,土木及水利工程師,批發業,… ,… ,… ,… 
2019,環境工程師,批發業,7,48680,47992,688
2019,機械工程師(含造船、輪機、鑄造),批發業,6121,79915,55646,24269
2019,食品工程師,批發業,… ,… ,… ,… 
2019,化工工程師,批發業,2658,95247,48766,46481
2019,醫療器材、醫學工程師,批發業,375,61810,56076,5734
2019,光學工程師,批發業,662,42494,42494,— 
2019,電機工程師,批發業,4264,54123,52298,1825
2019,電子工程師,批發業,6893,70556,63998,6558
2019,電信工程師,批發業,— ,— ,— ,— 
2019,室內設計師,批發業,… ,… ,… ,… 
2019,平面及多媒體設計師,批發業,3285,39950,37509,2441
2019,產品及服裝設計師(含工業設計),批發業,2364,47197,44551,2646
2019,護理人員,批發業,… ,… ,… ,… 
2019,獸醫師,批發業,… ,… ,… ,… 
2019,藥事人員(含藥師),批發業,762,62949,62294,655
2019,勞安及衛生管理人員(含工業安全管理師),批發業,206,66862,62307,4555
2019,營養師,批發業,… ,… ,… ,… 
2019,會(審)計師(含會計稽核),批發業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,批發業,576,64827,64632,195
2019,專案管理師(含經營管理顧問),批發業,3512,78060,72998,5062
2019,稽核人員,批發業,133,57802,55188,2614
2019,人力資源管理師,批發業,1031,63147,55077,8070
2019,廣告及行銷專業人員(含企劃),批發業,13905,51637,44911,6726
2019,公關專業人員,批發業,24,102651,69763,32888
2019,資訊系統分析及設計師,批發業,1899,72980,68768,4212
2019,軟體開發及程式設計師,批發業,3502,60236,56986,3250
2019,資料庫及網路專業人員,批發業,3388,59152,56169,2983
2019,律師及相關專業人員,批發業,6,108422,88369,20053
2019,專利工程師及公證人,批發業,… ,… ,… ,… 
2019,翻譯人員,批發業,… ,… ,… ,… 
2019,表演藝術人員(含演員、配音員),批發業,— ,— ,— ,— 
2019,電影、舞台及有關導演與製作人,批發業,— ,— ,— ,— 
2019,技術員及助理專業人員,批發業,247429,45110,39714,5396
2019,物理、化學及地球科學技術員,批發業,… ,… ,… ,… 
2019,營建工程技術員(含建築、土木、景觀、測量、水利),批發業,— ,— ,— ,— 
2019,電機技術員,批發業,4586,38753,38398,355
2019,電子技術員,批發業,6703,42148,39276,2872
2019,機械技術員(含造船、輪機、鑄造),批發業,6920,41804,39805,1999
2019,食品技術員,批發業,1604,36128,34476,1652
2019,化工技術員,批發業,3016,57512,41052,16460
