年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,電話及網路客服人員,出版、影音製作、傳播及資通訊服務業各業,7974,42530,37284,5246
2019,統計調查訪談人員,出版、影音製作、傳播及資通訊服務業各業,78,43276,43276,— 
2019,會計助理、簿記、出納,出版、影音製作、傳播及資通訊服務業各業,4827,38279,37658,621
2019,存貨事務人員,出版、影音製作、傳播及資通訊服務業各業,943,39638,38224,1414
2019,人事事務人員,出版、影音製作、傳播及資通訊服務業各業,1146,38068,35969,2099
2019,教務人員(含班導師、輔導員),出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,服務及銷售工作人員,出版、影音製作、傳播及資通訊服務業各業,14658,42342,36109,6233
2019,美髮、美容及造型設計人員,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,按摩師,出版、影音製作、傳播及資通訊服務業各業,21,27343,25097,2246
2019,商店銷售人員(含百貨公司樓管人員),出版、影音製作、傳播及資通訊服務業各業,6596,41298,39924,1374
2019,收銀員及售票員,出版、影音製作、傳播及資通訊服務業各業,1817,18033,17776,257
2019,展售說明人員,出版、影音製作、傳播及資通訊服務業各業,453,38673,36225,2448
2019,電話及網路行銷人員,出版、影音製作、傳播及資通訊服務業各業,4642,59587,42362,17225
2019,餐食服務櫃台工作人員,出版、影音製作、傳播及資通訊服務業各業,1092,17131,17088,43
2019,建築物管理員、保全及警衛人員,出版、影音製作、傳播及資通訊服務業各業,32,57178,36147,21031
2019,技藝、機械設備操作及組裝人員,出版、影音製作、傳播及資通訊服務業各業,11280,101787,56646,45141
2019,園藝及農牧業生產人員,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,營建木作人員,出版、影音製作、傳播及資通訊服務業各業,205,46552,46552,— 
2019,油漆、噴漆人員(含裱糊工),出版、影音製作、傳播及資通訊服務業各業,21,36035,36035,— 
2019,美編及印刷前置工作人員,出版、影音製作、傳播及資通訊服務業各業,677,35713,34324,1389
2019,印刷人員,出版、影音製作、傳播及資通訊服務業各業,1103,43091,41567,1524
2019,裝訂及有關工作人員,出版、影音製作、傳播及資通訊服務業各業,456,33585,30992,2593
2019,建築物電力系統裝修人員(含水電工),出版、影音製作、傳播及資通訊服務業各業,255,47214,44481,2733
2019,電力機械裝修人員,出版、影音製作、傳播及資通訊服務業各業,1795,137226,64948,72278
2019,電力線路裝修人員,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,資(通)訊設備裝修人員(含電信、電話),出版、影音製作、傳播及資通訊服務業各業,5605,131708,66033,65675
2019,電子設備裝修人員（不含資通訊設備）,出版、影音製作、傳播及資通訊服務業各業,78,39634,38469,1165
2019,小客、貨車駕駛人員,出版、影音製作、傳播及資通訊服務業各業,986,47572,40890,6682
2019,大客、貨車駕駛人員,出版、影音製作、傳播及資通訊服務業各業,38,46213,42206,4007
2019,推土、吊車、起重機等移運設備操作人員,出版、影音製作、傳播及資通訊服務業各業,22,32251,32197,54
2019,基層技術工及勞力工,出版、影音製作、傳播及資通訊服務業各業,1763,20930,20591,339
2019,清潔及家事工作人員(含建築清潔工),出版、影音製作、傳播及資通訊服務業各業,48,25997,25997,— 
2019,勞力工,出版、影音製作、傳播及資通訊服務業各業,743,25792,25044,748
2019,理貨員,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,收票員、引座員,出版、影音製作、傳播及資通訊服務業各業,934,16329,16284,45
2019,主管及監督人員,出版業,5127,92403,87904,4499
2019,高階主管(總經理及總執行長),出版業,573,173791,168937,4854
2019,中階主管(經理),出版業,1987,104100,96137,7963
2019,監督人員(含現場及辦公室主任、科/股長),出版業,2567,65182,63443,1739
2019,專業人員,出版業,15285,57494,55052,2442
2019,數學、精算及統計專業人員,出版業,— ,— ,— ,— 
2019,品管工程師,出版業,— ,— ,— ,— 
2019,機械工程師(含造船、輪機、鑄造),出版業,— ,— ,— ,— 
2019,醫療器材、醫學工程師,出版業,— ,— ,— ,— 
2019,光學工程師,出版業,— ,— ,— ,— 
