年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,大客、貨車駕駛人員,用水供應及污染整治業各業,3184,36809,34291,2518
2019,推土、吊車、起重機等移運設備操作人員,用水供應及污染整治業各業,1171,39008,36051,2957
2019,基層技術工及勞力工,用水供應及污染整治業各業,13012,26719,25561,1158
2019,清潔及家事工作人員(含建築清潔工),用水供應及污染整治業各業,1773,23965,23309,656
2019,勞力工,用水供應及污染整治業各業,2753,27633,26045,1588
2019,廢棄物收集工及回收資源分類工,用水供應及污染整治業各業,8334,26620,25537,1083
2019,抄表員及自動販賣機收款員,用水供應及污染整治業各業,152,47700,44398,3302
2019,主管及監督人員,用水供應業 ,622,101036,99774,1262
2019,高階主管(總經理及總執行長),用水供應業 ,20,118368,118368,— 
2019,中階主管(經理),用水供應業 ,90,109593,108915,678
2019,監督人員(含現場及辦公室主任、科/股長),用水供應業 ,512,98855,97441,1414
2019,專業人員,用水供應業 ,621,88725,88617,108
2019,品管工程師,用水供應業 ,— ,— ,— ,— 
2019,工管及生管工程師,用水供應業 ,… ,… ,… ,… 
2019,土木及水利工程師,用水供應業 ,316,89154,89139,15
2019,環境工程師,用水供應業 ,… ,… ,… ,… 
2019,機械工程師(含造船、輪機、鑄造),用水供應業 ,— ,— ,— ,— 
2019,化工工程師,用水供應業 ,38,95028,95028,— 
2019,電機工程師,用水供應業 ,51,97548,96542,1006
2019,護理人員,用水供應業 ,7,31549,31549,— 
2019,勞安及衛生管理人員(含工業安全管理師),用水供應業 ,15,85724,85724,— 
2019,專案管理師(含經營管理顧問),用水供應業 ,54,102161,102037,124
2019,稽核人員,用水供應業 ,… ,… ,… ,… 
2019,人力資源管理師,用水供應業 ,… ,… ,… ,… 
2019,廣告及行銷專業人員(含企劃),用水供應業 ,63,85220,85220,— 
2019,公關專業人員,用水供應業 ,… ,… ,… ,… 
2019,資訊系統分析及設計師,用水供應業 ,22,95721,95721,— 
2019,軟體開發及程式設計師,用水供應業 ,… ,… ,… ,… 
2019,資料庫及網路專業人員,用水供應業 ,… ,… ,… ,… 
2019,技術員及助理專業人員,用水供應業 ,1708,52879,51275,1604
2019,物理、化學及地球科學技術員,用水供應業 ,— ,— ,— ,— 
2019,營建工程技術員(含建築、土木、景觀、測量、水利),用水供應業 ,403,50667,48930,1737
2019,電機技術員,用水供應業 ,131,52143,50606,1537
2019,機械技術員(含造船、輪機、鑄造),用水供應業 ,11,51555,50155,1400
2019,化工技術員,用水供應業 ,97,51939,51032,907
2019,品管技術員,用水供應業 ,… ,… ,… ,… 
2019,工管及生管技術員,用水供應業 ,… ,… ,… ,… 
2019,製圖員,用水供應業 ,12,44206,43217,989
2019,環境工程技術員,用水供應業 ,49,48104,47994,110
2019,焚化爐、水處理及氣(液)體設備操作員,用水供應業 ,594,49696,48088,1608
2019,勞安及衛生技術員,用水供應業 ,34,46171,46171,— 
2019,會計人員,用水供應業 ,76,63439,63439,— 
2019,工商業銷售代表(含業務員),用水供應業 ,126,56871,56033,838
2019,採購員,用水供應業 ,36,59887,59887,— 
