年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,平面及多媒體設計師,不動產開發業,63,56145,56145,— 
2019,獸醫師,不動產開發業,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),不動產開發業,8,293797,73909,219888
2019,會(審)計師(含會計稽核),不動產開發業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,不動產開發業,113,121596,68558,53038
2019,專案管理師(含經營管理顧問),不動產開發業,173,81102,77347,3755
2019,人力資源管理師,不動產開發業,28,125777,68857,56920
2019,廣告及行銷專業人員(含企劃),不動產開發業,403,111876,65019,46857
2019,公關專業人員,不動產開發業,16,74283,74283,— 
2019,資訊系統分析及設計師,不動產開發業,… ,… ,… ,… 
2019,軟體開發及程式設計師,不動產開發業,… ,… ,… ,… 
2019,資料庫及網路專業人員,不動產開發業,… ,… ,… ,… 
2019,律師及相關專業人員,不動產開發業,6,130300,130300,— 
2019,翻譯人員,不動產開發業,… ,… ,… ,… 
2019,技術員及助理專業人員,不動產開發業,10977,55680,49359,6321
2019,營建工程技術員(含建築、土木、景觀、測量、水利),不動產開發業,4848,56348,52236,4112
2019,電機技術員,不動產開發業,217,58851,58789,62
2019,環境工程技術員,不動產開發業,— ,— ,— ,— 
2019,農業技術及農業推廣人員,不動產開發業,— ,— ,— ,— 
2019,船舶監管人員(含引水人員),不動產開發業,… ,… ,… ,… 
2019,勞安及衛生技術員,不動產開發業,… ,… ,… ,… 
2019,會計人員,不動產開發業,375,72565,60089,12476
2019,財物及損失鑑價人員,不動產開發業,— ,— ,— ,— 
2019,工商業銷售代表(含業務員),不動產開發業,2750,45541,45336,205
2019,採購員,不動產開發業,333,54475,51439,3036
2019,不動產經紀人,不動產開發業,1766,61450,42616,18834
2019,拍賣員(不含電子購物、郵購),不動產開發業,— ,— ,— ,— 
2019,專業秘書,不動產開發業,295,63040,54660,8380
2019,土地代書(地政士),不動產開發業,19,66573,61967,4606
2019,法務人員,不動產開發業,39,63344,60766,2578
2019,資訊管理及維護技術員,不動產開發業,189,89119,50672,38447
2019,事務支援人員,不動產開發業,22994,42884,39217,3667
2019,總務,不動產開發業,1721,47308,44154,3154
2019,一般辦公室事務人員(含文書),不動產開發業,11447,44529,38160,6369
2019,資料輸入人員,不動產開發業,285,30195,29809,386
2019,收帳、收費人員(含帳款催收),不動產開發業,… ,… ,… ,… 
2019,接待員及服務台事務人員,不動產開發業,874,33121,32819,302
2019,總機人員,不動產開發業,266,32684,30039,2645
2019,統計調查訪談人員,不動產開發業,— ,— ,— ,— 
2019,會計助理、簿記、出納,不動產開發業,7241,41104,40619,485
2019,統計、財務、證券及保險事務人員,不動產開發業,… ,… ,… ,… 
2019,存貨事務人員,不動產開發業,— ,— ,— ,— 
2019,人事事務人員,不動產開發業,818,43445,43321,124
2019,服務及銷售工作人員,不動產開發業,1825,41945,40941,1004
2019,按摩師,不動產開發業,— ,— ,— ,— 
2019,商店銷售人員(含百貨公司樓管人員),不動產開發業,— ,— ,— ,— 
2019,展售說明人員,不動產開發業,1558,41641,41603,38
2019,建築物管理員、保全及警衛人員,不動產開發業,267,43716,37078,6638
2019,技藝、機械設備操作及組裝人員,不動產開發業,818,61652,46992,14660
2019,園藝及農牧業生產人員,不動產開發業,— ,— ,— ,— 
2019,營建木作人員,不動產開發業,166,42509,42509,— 
2019,泥作工作人員,不動產開發業,— ,— ,— ,— 
2019,建築物電力系統裝修人員(含水電工),不動產開發業,… ,… ,… ,… 
2019,電力機械裝修人員,不動產開發業,— ,— ,— ,— 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),不動產開發業,— ,— ,— ,— 
2019,軌道車輛駕駛人員,不動產開發業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,不動產開發業,567,69212,48063,21149
2019,大客、貨車駕駛人員,不動產開發業,— ,— ,— ,— 
2019,基層技術工及勞力工,不動產開發業,539,31195,31195,— 
2019,清潔及家事工作人員(含建築清潔工),不動產開發業,456,30960,30960,— 
2019,勞力工,不動產開發業,83,32485,32485,— 
2019,主管及監督人員,不動產經營及相關服務業,9710,72938,54187,18751
2019,高階主管(總經理及總執行長),不動產經營及相關服務業,219,191524,142912,48612
2019,中階主管(經理),不動產經營及相關服務業,1281,114017,80345,33672
2019,監督人員(含現場及辦公室主任、科/股長),不動產經營及相關服務業,8210,63366,47739,15627
2019,專業人員,不動產經營及相關服務業,2959,51221,48931,2290
2019,農、林、漁、牧業專業人員,不動產經營及相關服務業,27,62465,58351,4114
2019,土木及水利工程師,不動產經營及相關服務業,12,69524,64472,5052
2019,環境工程師,不動產經營及相關服務業,10,47990,47564,426
2019,電機工程師,不動產經營及相關服務業,31,64341,64186,155
2019,建築工程師(含建築師),不動產經營及相關服務業,8,61592,61592,— 
2019,景觀設計師,不動產經營及相關服務業,— ,— ,— ,— 
2019,室內設計師,不動產經營及相關服務業,… ,… ,… ,… 
2019,平面及多媒體設計師,不動產經營及相關服務業,98,46901,46850,51
2019,獸醫師,不動產經營及相關服務業,… ,… ,… ,… 
2019,勞安及衛生管理人員(含工業安全管理師),不動產經營及相關服務業,28,67939,67471,468
